Month-Year,City Council,Nearest Air Monitoring Station,Average PM 2.5(ug/m3),Average AQI
1/07/2021,City of Wyndham,pt.-cook,24.03,76
1/06/2021,City of Wyndham,pt.-cook,26.9,82
1/05/2021,City of Wyndham,pt.-cook,29.81,88
1/04/2021,City of Wyndham,pt.-cook,29,87
1/03/2021,City of Wyndham,pt.-cook,26.13,80
1/02/2021,City of Wyndham,pt.-cook,25.29,79
1/01/2021,City of Wyndham,pt.-cook,25.68,79
1/12/2020,City of Wyndham,pt.-cook,22.52,73
1/11/2020,City of Wyndham,pt.-cook,26.6,81
1/10/2020,City of Wyndham,pt.-cook,23.9,76
1/09/2020,City of Wyndham,pt.-cook,23.67,75
1/08/2020,City of Wyndham,pt.-cook,21.87,71
