Month-Year,City Council,Nearest Air Monitoring Station,Average PM 2.5(ug/m3),Average AQI
1/07/2021,City of Brimbank,brooklyn,28.32,85
1/06/2021,City of Brimbank,brooklyn,32.47,94
1/05/2021,City of Brimbank,brooklyn,34.35,98
1/04/2021,City of Brimbank,brooklyn,32.4,94
1/03/2021,City of Brimbank,brooklyn,30.55,90
1/02/2021,City of Brimbank,brooklyn,29.57,88
1/01/2021,City of Brimbank,brooklyn,29.57,88
1/12/2020,City of Brimbank,brooklyn,26.06,80
1/11/2020,City of Brimbank,brooklyn,29.63,88
1/10/2020,City of Brimbank,brooklyn,28.87,86
1/09/2020,City of Brimbank,brooklyn,27.8,84
1/08/2020,City of Brimbank,brooklyn,25.13,78
