Month-Year,City Council,Nearest Air Monitoring Station,Average PM 2.5(ug/m3),Average AQI
1/07/2021,City of Frankston,dandenong,25.32,79
1/06/2021,City of Frankston,dandenong,29.67,88
1/05/2021,City of Frankston,dandenong,33.19,95
1/04/2021,City of Frankston,dandenong,30.77,90
1/03/2021,City of Frankston,dandenong,26.16,80
1/02/2021,City of Frankston,dandenong,25.5,79
1/01/2021,City of Frankston,dandenong,25.29,79
1/12/2020,City of Frankston,dandenong,23.16,74
1/11/2020,City of Frankston,dandenong,26.5,81
1/10/2020,City of Frankston,dandenong,25.55,79
1/09/2020,City of Frankston,dandenong,24.9,78
1/08/2020,City of Frankston,dandenong,23.23,74
