Month-Year,City Council,Nearest Air Monitoring Station,Average PM 2.5(ug/m3),Average AQI
1/07/2021,City of Kingston,brighton,23.28,74
1/06/2021,City of Kingston,brighton,19.5,67
1/05/2021,City of Kingston,brighton,23.39,75
1/04/2021,City of Kingston,brighton,19.73,67
1/03/2021,City of Kingston,brighton,12.94,53
1/02/2021,City of Kingston,brighton,12.14,51
1/01/2021,City of Kingston,brighton,16.3,60
1/12/2020,City of Kingston,brighton,18.61,65
1/11/2020,City of Kingston,brighton,18.07,63
1/10/2020,City of Kingston,brighton,15.52,58
1/09/2020,City of Kingston,brighton,14.17,55
1/08/2020,City of Kingston,brighton,15.35,58
