Month-Year,City Council,Nearest Air Monitoring Station,Average PM 2.5(ug/m3),Average AQI
1/07/2021,City of Maribyrnong,footscray,17.97,63
1/06/2021,City of Maribyrnong,footscray,24.13,76
1/05/2021,City of Maribyrnong,footscray,27.13,83
1/04/2021,City of Maribyrnong,footscray,25.5,79
1/03/2021,City of Maribyrnong,footscray,23.07,74
1/02/2021,City of Maribyrnong,footscray,12.14,51
1/01/2021,City of Maribyrnong,footscray,24.96,78
1/12/2020,City of Maribyrnong,footscray,22.39,72
1/11/2020,City of Maribyrnong,footscray,27.53,83
1/10/2020,City of Maribyrnong,footscray,23.77,75
1/09/2020,City of Maribyrnong,footscray,25.8,80
1/08/2020,City of Maribyrnong,footscray,23.68,75
