Month-Year,City Council,Nearest Air Monitoring Station,Average PM 2.5(ug/m3),Average AQI
1/07/2021,City of Melton,melton,20.07,68
1/06/2021,City of Melton,melton,26.4,81
1/05/2021,City of Melton,melton,28.16,85
1/04/2021,City of Melton,melton,28.07,84
1/03/2021,City of Melton,melton,25.29,79
1/02/2021,City of Melton,melton,25.29,79
1/01/2021,City of Melton,melton,25.5,79
1/12/2020,City of Melton,melton,23.23,74
1/11/2020,City of Melton,melton,25.43,79
1/10/2020,City of Melton,melton,21.48,71
1/09/2020,City of Melton,melton,21.67,71
1/08/2020,City of Melton,melton,19.04,66
