Month-Year,City Council,Nearest Air Monitoring Station,Average PM 2.5(ug/m3),Average AQI
1/07/2021,City of Moreland,melbourne-cbd,22.42,73
1/06/2021,City of Moreland,melbourne-cbd,26.63,81
1/05/2021,City of Moreland,melbourne-cbd,33.26,95
1/04/2021,City of Moreland,melbourne-cbd,31.08,91
1/03/2021,City of Moreland,melbourne-cbd,53,144
1/02/2021,City of Moreland,melbourne-cbd,25.05,78
1/01/2021,City of Moreland,melbourne-cbd,26.54,81
1/12/2020,City of Moreland,melbourne-cbd,22.26,72
1/11/2020,City of Moreland,melbourne-cbd,26.63,81
1/10/2020,City of Moreland,melbourne-cbd,22.9,74
1/09/2020,City of Moreland,melbourne-cbd,24.07,76
1/08/2020,City of Moreland,melbourne-cbd,22.61,73
