Month-Year,City Council,Nearest Air Monitoring Station,Average PM 2.5(ug/m3),Average AQI
1/07/2021,City of Whitehorse,box-hill,18.58,64
1/06/2021,City of Whitehorse,box-hill,23.03,74
1/05/2021,City of Whitehorse,box-hill,28.77,86
1/04/2021,City of Whitehorse,box-hill,29.97,88
1/03/2021,City of Whitehorse,box-hill,21.39,70
1/02/2021,City of Whitehorse,box-hill,21.75,71
1/01/2021,City of Whitehorse,box-hill,18.54,64
1/12/2020,City of Whitehorse,box-hill,21.71,71
1/11/2020,City of Whitehorse,box-hill,24.2,76
1/10/2020,City of Whitehorse,box-hill,17.54,62
1/09/2020,City of Whitehorse,box-hill,17.03,61
1/08/2020,City of Whitehorse,box-hill,17.68,61
