Month-Year,City Council,Nearest Air Monitoring Station,Average PM 2.5(ug/m3),Average AQI
1/07/2021,City of Yarra,alphington,28.42,85
1/06/2021,City of Yarra,alphington,35.53,101
1/05/2021,City of Yarra,alphington,40.31,113
1/04/2021,City of Yarra,alphington,33.83,97
1/03/2021,City of Yarra,alphington,28.58,85
1/02/2021,City of Yarra,alphington,26.57,81
1/01/2021,City of Yarra,alphington,26.32,81
1/12/2020,City of Yarra,alphington,23.62,75
1/11/2020,City of Yarra,alphington,30.97,91
1/10/2020,City of Yarra,alphington,33.38,96
1/09/2020,City of Yarra,alphington,28.37,85
1/08/2020,City of Yarra,alphington,26.52,81
