Month-Year,City Council,Nearest Air Monitoring Station,Average PM 2.5(ug/m3),Average AQI
07/2021,Nillumbik Shire,macleod,23.39,75
06/2021,Nillumbik Shire,macleod,27.9,84
05/2021,Nillumbik Shire,macleod,29.46,87
04/2021,Nillumbik Shire,macleod,29.85,88
03/2021,Nillumbik Shire,macleod,28.84,86
02/2021,Nillumbik Shire,macleod,25.68,79
01/2021,Nillumbik Shire,macleod,25.11,78
12/2020,Nillumbik Shire,macleod,26.94,82
11/2020,Nillumbik Shire,macleod,26.13,80
10/2020,Nillumbik Shire,macleod,25.87,80
09/2020,Nillumbik Shire,macleod,24.67,77
08/2020,Nillumbik Shire,macleod,23.71,75
