Month-Year,City Council,Nearest Air Monitoring Station,Average PM 2.5(ug/m3),Average AQI
1/07/2021,Nillumbik Shire,macleod,23.39,75
1/06/2021,Nillumbik Shire,macleod,27.9,84
1/05/2021,Nillumbik Shire,macleod,29.46,87
1/04/2021,Nillumbik Shire,macleod,29.85,88
1/03/2021,Nillumbik Shire,macleod,28.84,86
1/02/2021,Nillumbik Shire,macleod,25.68,79
1/01/2021,Nillumbik Shire,macleod,25.11,78
1/12/2020,Nillumbik Shire,macleod,26.94,82
1/11/2020,Nillumbik Shire,macleod,26.13,80
1/10/2020,Nillumbik Shire,macleod,25.87,80
1/09/2020,Nillumbik Shire,macleod,24.67,77
1/08/2020,Nillumbik Shire,macleod,23.71,75
